L1time,L1bx,L1by,L1bz,L1btot,L1n,L1T,L1V_x,L1V_y,L1V_z,L1V_tot,L1P_dyn,L2time,L2bx,L2by,L2bz,L2btot,L2n,L2T,L2V_x,L2V_y,L2V_z,L2V_tot,Rmp,Rbs,Long
00:15,3.4878516666666664,-0.208726,1.3390466666666665,3.7627085233499997,8.358976666666665,11858.573424787442,-338.23166666666674,-17.2184,-20.659066666666668,339.3033343034902,1.6071654313469679,00:15,15.090375,-1.1065670420999998,50.68942200000002,52.920345999999974,0.8133000160999999,10362413.561240004,1.1362227581999964,-17.354184848390002,2.2481442845199995,23.214702004869423,8.739725674720027,11.143150235268035,70.22907914976625
00:20,3.576565,-0.8710610000000001,1.7217183333333335,4.076732345806155,8.922556666666667,13291.18986268277,-338.566,-18.893766666666668,-18.017433333333333,339.5870575503677,1.7182229507072435,04:00,11.7541333,-1.4548807348999993,50.99746599999997,52.42656799999999,2.4783962073999994,6462357.7111266665,11.608290579280004,-23.318668957699998,-4.15460370627,32.45153250143369,8.642792769567007,11.019560781197935,70.11386876175736
00:25,3.680208333333333,-0.6617966166666667,1.9008533333333333,4.2216751173371785,9.395090000000001,12898.782710015303,-337.985,-21.644833333333338,-18.651933333333332,339.1974793502127,1.8068552953380463,03:55,11.450148400000003,-2.4033020323,50.03430599999999,51.412862000000004,4.090806160700002,3699910.5745400004,25.740086347600005,-27.684445009999994,-7.629056672700002,40.09098884938478,8.572055998712,10.929371398357802,70.02850946483558
00:30,3.627531666666666,-0.4203355,2.4357766666666665,4.398153128210301,9.311233333333334,12579.064292388894,-338.79833333333335,-20.551433333333332,-17.5507,339.87867760462524,1.7962451327655735,03:50,12.114721199999996,-0.6899973560999997,47.98944499999999,49.53377,1.3080767004000002,9728683.181476003,12.205399453100002,-10.861807904800008,-4.62269941429,26.304794346792608,8.579135373472534,10.938397601177481,70.03710187300234
00:35,3.5500716666666663,-0.4690045,2.146873333333333,4.176077977295489,9.66091,13475.061870665862,-336.08033333333333,-20.048166666666667,-20.534899999999997,337.31047860602604,1.8354944011069267,03:45,9.785250899999996,-3.480943231999999,49.53360899999995,50.739608999999994,6.321591768799997,4503764.707042665,-19.40486466,42.106176063,-10.720476787079997,68.40350721229784,8.548168586752913,10.898914948109965,69.99943453147249
00:40,3.6803133333333338,-0.8467851666666667,2.3778533333333334,4.464923876989551,10.227683333333333,14278.740166706928,-337.30266666666665,-18.11466666666667,-20.21613333333333,338.3932780914635,1.9554274640482614,03:40,10.610947600000001,-1.5749214759999992,46.01375,47.30140200000002,3.2435694025,6958589.101821336,29.64705500170001,-46.42447792699999,-15.139134102729999,60.622691903876095,8.45829006066382,10.784319827346371,69.88888704846136
00:45,3.54646,-0.5281491666666667,1.6375383333333333,3.948894795691222,8.956809999999999,12063.33270632931,-339.35999999999996,-20.298000000000002,-19.561933333333332,340.54674680200725,1.734789863001294,03:35,12.524826200000001,0.18967433799999994,48.247789000000004,49.96455400000001,0.34096060180000004,21437804.799733337,4.38117220773,-16.455359983200005,-6.081897893499995,32.90484709391138,8.629154075292199,11.002171445997554,70.09749599351042
00:50,3.594408333333334,-0.9938838333333333,1.8172500000000003,4.149704842195294,9.230873333333333,13881.66966072625,-340.8633333333333,-23.917233333333332,-23.185333333333332,342.488502175851,1.8081642757709548,03:30,-0.7304150199999991,5.912898659,19.035166299999965,30.908512900000016,9.5583163594,11193759.525813336,-44.08942679610001,49.984692602999985,-45.44750578850001,97.78396976186772,8.569659474209528,10.926315829617149,70.02559822699956
00:55,3.5570766666666667,-0.14376611666666664,1.6928183333333333,3.9475729103893307,8.648919999999999,12876.696614720617,-334.1746666666667,-25.953866666666666,-24.5892,336.0844403149877,1.6315655552430683,03:26,-7.9610532499,6.7499493989999975,-22.760794389999997,26.521617999999993,25.462183349999997,1669322.73758,-78.03305784000003,89.54463175999996,-43.33310328000002,128.6807003764472,8.71785377364517,11.11526356139759,70.20325834008736
01:00,3.554765,-0.7195633999999999,1.8543216666666666,4.093573024853605,9.26222,13614.953555193242,-333.301,-26.8253,-21.687966666666664,335.0828137819112,1.7366811615893296,03:21,-3.704021550000002,4.184313701000001,-17.4848404,18.883129599999997,33.87069412,1455656.59906,-82.62492581999997,81.55039526,-49.78948288999999,128.14266038838682,8.627456848218815,11.000007481478988,70.09545569815432
